case,budget,mode,method,output,output_sha256,gap_mm,seed,bias_rms_mm,supported_fraction,input_edit_rms_mm,sigma_mm,rcond,interpretation,weight_scope,output_action,low_probability_action,point_count,active_count,status,candidate_count,fit_parameter_count,fit_rows,fit_rank,numerical_nullity,effective_condition,low_probability_rows,zero_weight_rows,weighted_moment_sse_before_mm2,weighted_moment_sse_after_mm2,coefficient_delta_l2,maximum_abs_intercept_change_mm,maximum_abs_normalized_slope_change,actual_changed_fraction,seconds,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912101_b4,6,offset,b6_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b6_offset.npz,2049943862320ad47177beae57b26697fed8897db889a981d8b42fdd2d415c7b,2.0,912101,4.0,1.0,4.083952219239912,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.402381183775535,0,0,277.7835628686598,277.411349018043,0.05672155585619043,0.05493899652301601,0.0,1.0,0.000755733999540098,True,True,0.42373739847824005,0.511414286369068,0.9060056618893702,0.9622395833333334,0.9986979166666666,0.447190004710899,1.0,0.5519567232109033,0.44370260643510934,0.5364171398957475,1.7825619929143601,0.21743800708563987,0.8912809964571801,,self-report; not geometry-derived layer count or success,0.5495975602121289,0.05097789821670896,0.4804955686001868,0.9300304716167029,1.1127057063603796,0.8872942936396204,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912101_b4,6,affine,b6_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912101_b4__b6_affine.npz,deb59e4023147d3d51b1892462de945a912815bf9c24fbbb343455091cc1bad9,2.0,912101,4.0,1.0,4.088847720367904,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,6.79095263845114,0,0,277.7835628686598,275.9797089769977,0.2467011339837424,0.08733639636528157,0.20612804593742332,1.0,0.0008011369936866686,True,True,0.3931691936503807,0.47855602227674576,0.875695981171505,0.9661458333333334,0.9986979166666666,0.41543505559807653,1.0,0.5200339353677854,0.41228511019891406,0.5017101805701417,1.7661441556014297,0.23385584439857032,0.8830720778007148,,self-report; not geometry-derived layer count or success,0.5174754474177217,0.05152140578375854,0.5166325701541116,0.8795198790175743,1.0974569562395433,0.9025430437604567,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,1,offset,b1_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b1_offset.npz,e0d8989dc97709e17efc09b611e9ce0ecef9c86795b63c0ccbf5cea6d18f6c57,2.0,912113,0.0,1.0,0.8456374234678694,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.3279272811666414,0,0,282.56215014128907,277.85263063841717,0.39486979116286713,0.2796827068660312,0.0,1.0,0.000715940012014471,True,True,0.4490639205776757,0.5391076669916728,0.9811103862331536,0.9127604166666666,1.0,0.46010075145524626,1.0,0.5761687651028641,0.46966632002027525,0.5566681662543969,1.6957002629039,0.30429973709610003,0.84785013145195,,self-report; not geometry-derived layer count or success,0.5758903073431937,0.017910884632569315,0.8091689336377081,1.3630477316820397,0.6549541644274464,1.3450458355725536,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,1,affine,b1_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b1_affine.npz,8b031f7777106474a094f57f4c0fab67c908e989221574181ac7ba183f4efa8c,2.0,912113,0.0,1.0,0.8436950323587724,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.0596573987916225,0,0,282.56215014128907,277.25146874228454,0.41949452464438275,0.26877353881240273,0.19794431371027432,1.0,0.0007783270120853558,True,True,0.39459957451717304,0.49238313963237423,0.9461181140995175,0.9401041666666666,1.0,0.4031712543569448,1.0,0.5256946282610441,0.4114924272996583,0.5094445192315011,1.7328573684126778,0.2671426315873222,0.8664286842063389,,self-report; not geometry-derived layer count or success,0.5256813738906817,0.003733005079373507,0.808023514559353,1.3664475822362707,0.6948651954784912,1.3051348045215088,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,3,offset,b3_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b3_offset.npz,d07b629a84049382c8fb3e6b9204f76fc363bda62f008eda059c5667cf0cf72f,2.0,912113,0.0,1.0,0.8482223319630846,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.7100529475704787,0,0,279.4775299481196,278.8734796095273,0.1597979642482949,0.11801921880937008,0.0,1.0,0.0007744250033283606,True,True,0.41947448323788566,0.5082932026715009,0.9170094605405391,0.9427083333333334,1.0,0.42739953089115174,1.0,0.5330394167936796,0.43229432442270443,0.5176541164088649,1.7382811058736563,0.26171889412634375,0.8691405529368281,,self-report; not geometry-derived layer count or success,0.5330140187229919,0.005203431609236433,0.7311049927321002,1.4322848292751664,0.7197241705422783,1.2802758294577217,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,3,affine,b3_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b3_affine.npz,4d7e990cde685a083ef250ecefbd2ba25760ff729200bfe09cdab922528f2cc7,2.0,912113,0.0,1.0,0.8644861557088975,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,10.730419688154761,0,0,279.4775299481196,277.7394238320086,0.2762473001511378,0.1404852943143426,0.16798011033605287,1.0,0.0007715849933447316,True,True,0.401891211843933,0.4933093523699546,0.9087035622882164,0.9505208333333334,1.0,0.4079815205044898,1.0,0.5142299263584958,0.4123631789726819,0.4959209241626154,1.720034331979499,0.27996566802050094,0.8600171659897495,,self-report; not geometry-derived layer count or success,0.514189441191768,0.006452575420822448,0.8188066884242713,1.4751246827119844,0.6336069166491987,1.3663930833508013,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,6,offset,b6_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b6_offset.npz,8fb8359582f021f5abd7bba05df5b56516633d231cefe371c2136b6446e7c0e9,2.0,912113,0.0,1.0,0.8613372913810363,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,4.0125703940234585,0,0,282.6530013568846,282.495611763547,0.0614614229166234,0.05584167903430204,0.0,1.0,0.0007442339992849156,True,True,0.41113526052193733,0.49356126972977654,0.8919648657340311,0.95703125,1.0,0.41831488116321314,1.0,0.514481351810749,0.4216127333609025,0.5033142859460655,1.7811395262343057,0.21886047376569429,0.8905697631171529,,self-report; not geometry-derived layer count or success,0.5144450181728004,0.006114297850346512,0.7308743012026121,1.4795162670103554,0.7456601421403102,1.2543398578596898,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b0,6,affine,b6_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b0__b6_affine.npz,137caa8d91df84e447c7e46712934970e7663789315c85f8d045303d718619a6,2.0,912113,0.0,1.0,0.8916301802558517,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,16.14579540052287,0,0,282.6530013568846,280.984712259713,0.32540091034521607,0.11021388075347892,0.20069790668884244,1.0,0.0007857269956730306,True,True,0.38533563445514085,0.4732217434229152,0.8776926424035496,0.96875,1.0,0.3910029438135047,1.0,0.4917912031339671,0.3942240508962345,0.47497330340134486,1.73751430976589,0.26248569023410995,0.868757154882945,,self-report; not geometry-derived layer count or success,0.49177772691818755,0.0036407124488880885,0.8224355488916678,1.5402651642734095,0.6204805948647947,1.3795194051352053,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,1,offset,b1_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b4__b1_offset.npz,bbfbe0ce61c606596f6e11cd9bcaf0a29e014e6c9bfd533b7a60cc272632444b,2.0,912113,4.0,1.0,4.065515241979361,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.4079780188196,0,0,278.9520562497366,275.07649780506927,0.3467397225050593,0.24674668822274573,0.0,1.0,0.0007137049979064614,True,True,0.4288055660414274,0.5170404156262801,0.9363433204831189,0.9127604166666666,1.0,0.4507108667268072,1.0,0.5674028536705986,0.4546273236923404,0.5477302987265777,1.7154521890494128,0.28454781095058723,0.8577260945247064,,self-report; not geometry-derived layer count or success,0.5673654693987925,0.006513254749097944,0.778169497451669,1.2927390096076148,0.7261361379795765,1.2738638620204235,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,1,affine,b1_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b4__b1_affine.npz,dcbe1eb86984b9c8700dd4ab88ea73494b4494066a2c82fd44e48faca43dc58f,2.0,912113,4.0,1.0,4.064376345066996,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,7.88014578867433,0,0,278.9520562497366,274.5757562835943,0.37547952228582177,0.23947299581150025,0.18463381420186606,1.0,0.0007983600080478936,True,True,0.38196542538659645,0.48015339197672136,0.9589619158274332,0.9283854166666666,1.0,0.40097503234196896,1.0,0.5253059092541102,0.4031799211525242,0.5071155694315906,1.7400271727047898,0.2599728272952102,0.8700135863523949,,self-report; not geometry-derived layer count or success,0.5252924755376728,0.0037567859655580132,0.7828705361234135,1.2944568745890752,0.7450292706312521,1.2549707293687478,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,3,offset,b3_offset,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b4__b3_offset.npz,92815046772f76feb71cbbfbe7fd48e9da3884ab1f0dd41d5e45a154f4784533,2.0,912113,4.0,1.0,4.054801498002743,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,3,768,3,0,3.753495897109863,0,0,277.53031511125164,277.1852141663425,0.11865685599464204,0.08951535276607255,0.0,1.0,0.000757281988626346,True,True,0.4114319521756877,0.5022122303424815,0.9314239625527196,0.9388020833333334,1.0,0.42839201802628885,1.0,0.5364618283866964,0.4277410117516827,0.5194881718364457,1.7470483026040888,0.25295169739591117,0.8735241513020444,,self-report; not geometry-derived layer count or success,0.5364496986293542,0.0036075138907937215,0.71349950575764,1.362402994547479,0.7689204229077964,1.2310795770922036,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,3,affine,b3_affine,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/selection-unmix-v9-qe05wnli/outputs/dual_g2_s912113_b4__b3_affine.npz,0a0d6faaf57372aebb8cfc05d84f26423209ca3dfe56f3947eb918e895d23eb1,2.0,912113,4.0,1.0,4.059689575935087,1.0,1e-08,one frozen working-model moment update; not an identified physical solution,"inherited observation-dependent weights, no unbiased WLS guarantee","fixed selected candidate projection, no reassociation or hard-group refit",exclude fitting row and keep its measured input unchanged,768,768,APPLY,3,9,768,9,0,11.885203351574894,0,0,277.53031511125164,276.0139816539962,0.2573220826809292,0.10609863411990655,0.1793381354304885,1.0,0.000795544998254627,True,True,0.3875702125600547,0.4785534311099889,0.9013793163019443,0.9466145833333334,1.0,0.40278387665220033,1.0,0.5088761924936728,0.40105941838392956,0.48975734284833516,1.7374967667155188,0.2625032332844812,0.8687483833577594,,self-report; not geometry-derived layer count or success,0.5088520312867014,0.004958784352577007,0.7963005021064579,1.3961364326853687,0.6957665966757336,1.3042334033242664,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
