case,budget,method,gap_mm,seed,n_points,supported_fraction,group_count,input_edit_rms_mm,output,output_sha256,stage,identifiable,geometry_scored,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,reported_model_k,model_k_note,global_translation_only_aligned_rms_mm,output_edit_from_reference_centroid_mm,source_surface_tilt_mean_deg,source_surface_tilt_max_deg,fitted_gap_at_same_xy_mm,fitted_gap_at_same_xy_error_mm,fitted_gap_note
dual_g2_s912113_b4,3,soft_M_map_b3,2.0,912113,768,1.0,3,4.051248644531104,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b4__soft_M_map_b3.npz,2238fe116cc85f1ff549a46c8ee0d3c7ff6bc1121bc38b4ee1d28ff56dd944b5,exposed development post-decision ablation,True,True,0.4141742552232268,0.5078831857871356,0.9747825769832733,0.9270833333333334,1.0,0.4331694409213945,1.0,0.5473316835998631,0.43351214001017313,0.5310490308150101,1.750215084597601,0.249784915402399,0.8751075422988005,,self-report; not geometry-derived layer count or success,0.5473080741726346,0.0050836815107306865,0.7078400303370594,1.3045037244224822,0.796953268290523,1.203046731709477,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912113_b4,6,soft_M_map_b6,2.0,912113,768,1.0,3,4.051995726351752,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912113_b4__soft_M_map_b6.npz,b8c4391675f8e7dfac0002b572d9fdaee5cd0ffe2080637f2b7a874c7cf6c8fb,exposed development post-decision ablation,True,True,0.4116986063378805,0.49384665270868416,0.8827989114089777,0.9609375,1.0,0.4239967671624691,1.0,0.5161142551563704,0.4214673301694167,0.5002101134593164,1.762298670811334,0.23770132918866604,0.881149335405667,,self-report; not geometry-derived layer count or success,0.5161080641870474,0.0025279352669091665,0.7264402798875703,1.4464391258421756,0.7476718147488801,1.2523281852511199,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b0,1,soft_M_map_b1,2.0,912127,768,1.0,4,0.6893945276243486,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b0__soft_M_map_b1.npz,3fac8c2c6b24f12225de973733f690a6ed86283874be0b2819f2ec0887b01e57,exposed development post-decision ablation,True,True,0.4301244099105704,0.6342247462650605,1.561117614770105,0.8723958333333334,0.9908854166666666,0.4380200205876123,1.0,0.6864027365058635,0.4632930224367564,0.6809976080170956,1.834306069828422,0.16569393017157807,0.917153034914211,,self-report; not geometry-derived layer count or success,0.6857595397540103,0.029708085079756027,0.42751435772722424,0.6766360507015704,1.4357136217623419,0.5642863782376581,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b0,3,soft_M_map_b3,2.0,912127,768,1.0,4,0.7039201087760975,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b0__soft_M_map_b3.npz,06b570590709ac2a9ed5b1b7479038f344cf48be0af714dd6d5c03d87d68305d,exposed development post-decision ablation,True,True,0.4365411902747442,0.5645270670463851,1.2215181663989083,0.8880208333333334,1.0,0.44964892436955295,1.0,0.6094754354292387,0.462863225421797,0.602011444951389,1.8159291643136632,0.18407083568633675,0.9079645821568316,,self-report; not geometry-derived layer count or success,0.6086285980224021,0.032117535100707195,0.3595023605431748,0.7365002950389946,1.4327850835701241,0.5672149164298759,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b0,6,soft_M_map_b6,2.0,912127,768,1.0,4,0.7272465372825656,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b0__soft_M_map_b6.npz,b4364b6b16191da86370232943f3f9b0de53d85a95fb864a7c7e0f70b1fa800c,exposed development post-decision ablation,True,True,0.4405577319357539,0.5412664482517904,1.0431251666588484,0.9205729166666666,1.0,0.44883657986675435,1.0,0.5680320873212773,0.45534161850677574,0.5601658023285373,1.8145166949604916,0.18548330503950838,0.9072583474802458,,self-report; not geometry-derived layer count or success,0.5673854600754249,0.027095976113909532,0.4731443184404455,0.9753145144727051,1.310314077630697,0.689685922369303,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b4,1,soft_M_map_b1,2.0,912127,768,1.0,3,4.079062602234923,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b4__soft_M_map_b1.npz,a89a6a54680334a3a933089d846ef2b43a5293ba19ced7444bf5e8bb4392f8d6,exposed development post-decision ablation,True,True,0.398229810149138,0.6340695002856783,1.83001884444136,0.88671875,0.9856770833333334,0.41358058277931303,1.0,0.6918456464110314,0.434426571615757,0.6779017759985921,1.749819711132596,0.25018028886740407,0.874909855566298,,self-report; not geometry-derived layer count or success,0.6913870790226782,0.025185420750643096,0.5912133967684597,0.6883796864714837,1.1996402648007833,0.8003597351992167,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b4,3,soft_M_map_b3,2.0,912127,768,1.0,3,4.072751140212044,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b4__soft_M_map_b3.npz,495bb7651adf4c1529ace53d03768ad173a4cefd8c2bb4892c78f2512b944c9d,exposed development post-decision ablation,True,True,0.3875593192967159,0.5698488940456181,1.0406074913292092,0.91796875,0.9908854166666666,0.3928761641066581,1.0,0.6069433554221206,0.407451315124955,0.5841036173601236,1.684214001374009,0.315785998625991,0.8421070006870045,,self-report; not geometry-derived layer count or success,0.6068639773358087,0.00981578846683933,0.6474484503684601,0.9415014275328407,0.9763527062512637,1.0236472937487364,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g2_s912127_b4,6,soft_M_map_b6,2.0,912127,768,1.0,3,4.0636431098774795,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g2_s912127_b4__soft_M_map_b6.npz,0c2382740fa430b438b6ca605c0db64194becb034e4ddeb542ddb917142dce98,exposed development post-decision ablation,True,True,0.3609411031716725,0.5459288133834966,0.9944992508890534,0.94140625,0.9921875,0.353495327283682,1.0,0.5619047313491344,0.3678653971555752,0.5378986665541718,1.6890363837688818,0.31096361623111823,0.8445181918844409,,self-report; not geometry-derived layer count or success,0.5618897397068777,0.004104573629531369,0.5941079724664462,0.9582395270367167,1.0234439746055832,0.9765560253944168,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b0,1,soft_M_map_b1,4.0,912101,768,0.921875,5,0.6362779017538172,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b0__soft_M_map_b1.npz,6bd751f904d4185a44664c0f4b72215ddcbcaefee266fd931a44775a0d84105d,exposed development post-decision ablation,True,True,0.5539034736047839,0.8338312448832158,1.881124516329143,0.8138020833333334,0.9791666666666666,0.5073614258718907,1.0,0.8501893690259299,0.5607359383265798,0.844888316364921,3.8983655753314936,0.10163442466850636,0.9745913938328734,,self-report; not geometry-derived layer count or success,0.8463306311992747,0.08090998639566196,0.37181332873523965,0.49544482772351295,3.646579094424738,0.3534209055752622,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b0,3,soft_M_map_b3,4.0,912101,768,0.921875,5,0.5828332727008743,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b0__soft_M_map_b3.npz,3caf70ff63fc9ccbfbda72b21bcdfc8b968abae2a0493cf8312c10566e152e15,exposed development post-decision ablation,True,True,0.6328045053055016,0.8093937640397705,1.6917998560276053,0.82421875,0.9895833333333334,0.5965529801764083,1.0,0.8297707985616,0.6395813022600312,0.8248745789460564,3.875441234970512,0.12455876502948815,0.968860308742628,,self-report; not geometry-derived layer count or success,0.8270890563750203,0.06665786502907173,0.3242653528293404,0.4420488305787362,3.6404263190311044,0.35957368096889564,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b0,6,soft_M_map_b6,4.0,912101,768,0.921875,5,0.5670066374862344,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b0__soft_M_map_b6.npz,a8efa0ccf01ea0a72bf72e2db7301cc004627b669b5e8ab3e502e34e71ed2927,exposed development post-decision ablation,True,True,0.6501181927972534,0.7835064580760667,1.5198049269689495,0.84765625,0.99609375,0.6263626057338699,1.0,0.7875551323251281,0.6517067080043925,0.7829603605230151,3.871654249918319,0.12834575008168114,0.9679135624795797,,self-report; not geometry-derived layer count or success,0.7854363024732784,0.057731284489040115,0.19223734870753964,0.2550700158338121,3.8109089325161727,0.1890910674838273,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b4,1,soft_M_map_b1,4.0,912101,768,0.921875,5,3.9296743594805204,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b4__soft_M_map_b1.npz,01a6e13366ae6fc2765a77881fac34b1d8905e92752206d04cc6b88d83f1dee2,exposed development post-decision ablation,True,True,0.7045636429906121,1.179228227420272,2.340867000334481,0.7604166666666666,0.94140625,0.6191656701766444,1.0,1.321647023516729,0.7755475275800819,1.316615789758371,3.984204969361901,0.01579503063809895,0.9960512423404753,,self-report; not geometry-derived layer count or success,1.3167594465232038,0.11355797973958083,0.23520096599607795,0.3324700150366692,3.8969660694985775,0.10303393050142251,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b4,3,soft_M_map_b3,4.0,912101,768,0.921875,5,3.932038796337478,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b4__soft_M_map_b3.npz,e381894ee63746a6f3fbd87aa5258c17af0a4e3014766bec9d094812ee35515d,exposed development post-decision ablation,True,True,0.7834597978974926,1.1620898826289967,2.0054037151399466,0.7708333333333334,0.9505208333333334,0.7090557032957626,1.0,1.308628492677033,0.8543939735906753,1.3045976250414448,3.9613527598486558,0.03864724015134424,0.9903381899621639,,self-report; not geometry-derived layer count or success,1.3048549636399873,0.09930788342448699,0.196280465921033,0.28372612032639105,3.891094735052137,0.10890526494786279,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912101_b4,6,soft_M_map_b6,4.0,912101,768,0.921875,5,3.929424562640489,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912101_b4__soft_M_map_b6.npz,abcbc07cd1d274273362c6efaf1991f8b04849b7c66085ea2725c68b226f2acd,exposed development post-decision ablation,True,True,0.8008004710452177,1.1442115987965724,1.8875235052766572,0.7877604166666666,0.953125,0.7445725015624701,1.0,1.2822829261682664,0.8665535052281507,1.27880376676472,3.9576213301334513,0.0423786698665487,0.9894053325333628,,self-report; not geometry-derived layer count or success,1.2790939499783704,0.09037792801000413,0.1847537104427552,0.21425880098157526,4.061408868091647,0.061408868091646696,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b0,1,soft_M_map_b1,4.0,912113,768,0.9088541666666666,4,0.720904252598232,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b0__soft_M_map_b1.npz,9c0c9447390fb9b33c8d5bd5821c785ba422ee9f3030592026c76e69e13ea699,exposed development post-decision ablation,True,True,0.580206550483656,0.8796756451848805,2.038995359158277,0.82421875,0.9674479166666666,0.524744305658796,1.0,0.911684262162965,0.5940486340580056,0.910372262469688,3.9401542050468015,0.05984579495319853,0.9850385512617004,,self-report; not geometry-derived layer count or success,0.9108728973930595,0.03845463132579475,1.0103550500231908,1.193276497136876,2.8129954764964653,1.1870045235035347,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b0,3,soft_M_map_b3,4.0,912113,768,0.9088541666666666,4,0.6869532298330666,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b0__soft_M_map_b3.npz,1f8b34d7807092915f057ec53a505615872ff4f1cb3792232c6463cf317f2c0c,exposed development post-decision ablation,True,True,0.5663736882515301,0.7673400594062603,1.651250994305093,0.8411458333333334,0.9869791666666666,0.5355277551232914,1.0,0.7880466323358523,0.5739659112513792,0.7781032767751919,3.7465653447847918,0.25343465521520825,0.9366413361961979,,self-report; not geometry-derived layer count or success,0.7879117193598206,0.014581400184103787,0.938694807796657,1.1682665408669184,2.682098626697301,1.317901373302699,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b0,6,soft_M_map_b6,4.0,912113,768,0.9088541666666666,4,0.6298670145545089,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b0__soft_M_map_b6.npz,778c056304b9d5f38b48b1cdf0ff702833f4ffddc9cf05fe4e7760b5a07d8dba,exposed development post-decision ablation,True,True,0.571922010354116,0.7219413315529777,1.5085465531307274,0.8619791666666666,0.99609375,0.5494675437259224,1.0,0.7340940261730334,0.5763344717675943,0.7252168949899789,3.78260824029847,0.2173917597015298,0.9456520600746176,,self-report; not geometry-derived layer count or success,0.7329711549547697,0.040587254984851925,0.6529241944246191,0.7688831394195236,3.0642254621948246,0.9357745378051754,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b4,1,soft_M_map_b1,4.0,912113,768,0.9114583333333334,4,3.7894958578930056,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b4__soft_M_map_b1.npz,65e6799aea3e2d9038cac1e64dd3b34d3a04f1a3478ed19360462ea9bfc17d2b,exposed development post-decision ablation,True,True,0.744866293709013,1.3024521901422368,2.669014635780626,0.78125,0.9283854166666666,0.6244936475030132,1.0,1.6169951843468844,0.8643756957656276,1.6163012309120164,3.9519011834128572,0.04809881658714277,0.9879752958532143,,self-report; not geometry-derived layer count or success,1.6169721024979378,0.008639788447217498,1.072691148253812,1.3194531408266472,2.730922589460973,1.269077410539027,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b4,3,soft_M_map_b3,4.0,912113,768,0.9114583333333334,4,3.782750888204515,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b4__soft_M_map_b3.npz,cce1e965dcab2fc80f93a75cb24e4912c7acc5ba3be56e757ed75a4e5950069a,exposed development post-decision ablation,True,True,0.7416852171932541,1.2436329869990912,2.1746267272774054,0.7994791666666666,0.9453125,0.6441899520673117,1.0,1.5619264071067582,0.8548825783631324,1.55680497020655,3.7546557407054792,0.24534425929452075,0.9386639351763698,,self-report; not geometry-derived layer count or success,1.5619216192051677,0.0038673863181242912,0.9834532145689225,1.194593295743435,2.65651470362656,1.3434852963734398,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912113_b4,6,soft_M_map_b6,4.0,912113,768,0.9114583333333334,4,3.7654530451480763,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912113_b4__soft_M_map_b6.npz,012a9b7118e3b3b48094a204a3e5998b9f661721cbd91ba231123977a60753f9,exposed development post-decision ablation,True,True,0.7502349301108054,1.2165537628477816,1.944129401768291,0.81640625,0.9596354166666666,0.6530084660559693,1.0,1.5353092457380322,0.8599514138000995,1.5304001454046552,3.768666009854787,0.23133399014521316,0.9421665024636967,,self-report; not geometry-derived layer count or success,1.5350816189641865,0.026436776788732897,0.6745508118201237,0.7492843413977007,3.0530120974425206,0.9469879025574794,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912127_b0,1,soft_M_map_b1,4.0,912127,768,0.9361979166666666,4,0.6899147760472785,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912127_b0__soft_M_map_b1.npz,786d023852a88b2ad156977905b249d1e799d9e54663d3d6f1ade6b7a9837dfb,exposed development post-decision ablation,True,True,0.5353353879364143,0.8292922534489503,1.9476749625541425,0.85546875,0.97265625,0.48267975789115614,1.0,0.8461589623669425,0.5423967894884095,0.8421120445808254,3.8315717116433405,0.16842828835665946,0.9578929279108351,,self-report; not geometry-derived layer count or success,0.8461200114314242,0.0081188576282062,0.3947095439257918,0.4647536039661993,3.563444765238585,0.436555234761415,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912127_b0,3,soft_M_map_b3,4.0,912127,768,0.9361979166666666,4,0.6291659648908653,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912127_b0__soft_M_map_b3.npz,9a28784bde472b5df11263b6754759f7f5c81f6a50ffd53cbcd4ed8e2937486a,exposed development post-decision ablation,True,True,0.5938144836364091,0.7803423786143009,1.7194288864130567,0.8346354166666666,0.9869791666666666,0.5670635866101015,1.0,0.7883516561584105,0.5969526530371008,0.7755086999886754,3.7096181822803453,0.29038181771965466,0.9274045455700863,,self-report; not geometry-derived layer count or success,0.7883507024673911,0.0012262491098884052,0.2475572618448145,0.3149604014569789,3.545938821626499,0.45406117837350113,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
dual_g4_s912127_b0,6,soft_M_map_b6,4.0,912127,768,0.9361979166666666,4,0.5974520896877199,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/decision-v7-nk7sm4yf/outputs/dual_g4_s912127_b0__soft_M_map_b6.npz,b708c74cbd28f5f95127a7d5562d9957d5facbb38b1de52b12e82310ea8c673d,exposed development post-decision ablation,True,True,0.6213506810989975,0.7559034472848405,1.4988370105081448,0.8580729166666666,0.9947916666666666,0.6003482900768041,1.0,0.7641390169981953,0.6244777087131287,0.7549630347858175,3.758248748923346,0.24175125107665396,0.9395621872308365,,self-report; not geometry-derived layer count or success,0.7641277610267986,0.004147544712219063,0.24740234221497293,0.2840810229465899,3.810632765777573,0.18936723422242707,"GT source-group affine fits evaluated at x=y=0; may extrapolate, not physical layer count"
