split,case,method,sigma_mm,family,gap_mm,bias_rms_mm,seed,execution,ok,source_output,source_output_sha256,identifiable,geometry_scored,geometry_note,reported_model_k,model_k_note,surface_accuracy_mean_mm,surface_accuracy_rms_mm,surface_accuracy_p95_mm,reference_sample_coverage_1mm,reference_sample_coverage_2mm,reference_sample_distance_mean_mm,output_point_count_ratio,matched_point_rms_mm,matched_normal_mae_mm,within_source_layer_rms_mm,source_group_gap_mm,source_group_gap_error_mm,source_group_gap_retention,patch_id,scene,perturbation,adapter_mode,error,actual_point_delta_rms_mm,independent_real_geometry,recovery_vs_measured_reference_rms_mm,zero_injection_edit_rms_mm,response_vs_own_baseline_rms_mm,interaction_mm2,decomposition_error_mm2,method_seconds
synthetic,ambig_g8_s912127,fast,1.0,ambiguous_two_explanations,8.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912127__sig1.0__fast.npz,6aae1ad36d502d80951b0774eb3465448134ff8f7f0d72c912a27eb755beae32,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,ambig_g8_s912127,open3d_icp_then_xyz,1.0,ambiguous_two_explanations,8.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/ambig_g8_s912127__sig1.0__open3d_icp_then_xyz.npz,04a334e3d198f7d0b80087e4e0de4a429f1074afca0b69079f7d7ead682d5c8a,False,False,scalar ambiguity control; not scored as a unique physical world,1,self-report; not geometry-derived layer count or success,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b0,identity,1.0,true_bilayer,2.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b0__sig1.0__identity.npz,4091df19dea866ad7ab57a5e5713b1395eb4eb022209c7bc72391bdb28d0003c,True,True,,,self-report; not geometry-derived layer count or success,0.7612819978776816,0.9654815674687615,1.9346393248342313,0.71484375,0.9713541666666666,0.760832231612112,1.0,1.0218341833090718,0.8114042921165222,1.0206474454778676,1.9482230498709825,0.05177695012901751,0.9741115249354912,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b0,xyz_mixture,1.0,true_bilayer,2.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b0__sig1.0__xyz_mixture.npz,d8d52ee69ae50315f20c618e07f0eec1a283acc840d0f6e121bfde0466c19bd3,True,True,,2,self-report; not geometry-derived layer count or success,0.39433584673692107,0.4765338649585914,0.8917584010764955,0.9752604166666666,1.0,0.3983437240787362,1.0,0.4892673370030162,0.4002873062278082,0.4182244576143091,1.4855029020978745,0.5144970979021255,0.7427514510489373,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b0,fast,1.0,true_bilayer,2.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b0__sig1.0__fast.npz,eedd3544052384f01710567b232638b5b4e35fc2a11c735c0abdb1e1e07eea3d,True,True,,1,self-report; not geometry-derived layer count or success,0.46855438206774985,0.5487410296841477,0.9469584453675423,0.98046875,1.0,0.4708277149546786,1.0,0.550714549455801,0.46929018693576124,0.4388146542409194,1.322271178643022,0.6777288213569781,0.661135589321511,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b0,open3d_icp_then_xyz,1.0,true_bilayer,2.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b0__sig1.0__open3d_icp_then_xyz.npz,a077d7fcec9378dbb0e8195daecfe6788a94055c0c6ab9077954fa908f74f219,True,True,,2,self-report; not geometry-derived layer count or success,0.4241460698742617,0.5343601473249554,0.9308267810042157,0.2630208333333333,0.7239583333333334,1.590780961575667,1.0,3.1372850152527714,0.4147033287834441,0.41599443401454783,1.4112646625565284,0.5887353374434716,0.7056323312782642,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b4,identity,1.0,true_bilayer,2.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b4__sig1.0__identity.npz,9e8b56b58125eb41d699ecc95e16988529767030a5534a007f97d6950ff92da8,True,True,,,self-report; not geometry-derived layer count or success,3.511500004627116,3.9455722496963186,6.6290140798348345,0.045572916666666664,0.18489583333333334,2.8723898267538943,1.0,4.14569839196445,3.7892775109664165,4.14534416750622,2.0696979887814755,0.06969798878147548,1.0348489943907377,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b4,xyz_mixture,1.0,true_bilayer,2.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b4__sig1.0__xyz_mixture.npz,44d204ee2a62ed7f8610230d341ddeaddb0f6a6e0403b21bde322445a94063f1,True,True,,2,self-report; not geometry-derived layer count or success,3.457866753463332,3.52627858332901,4.5202854161642465,0.0026041666666666665,0.0078125,3.547503858927154,1.0,3.803801717826381,3.7535316451873797,3.8001854140341176,1.6843923820665911,0.31560761793340886,0.8421961910332956,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b4,fast,1.0,true_bilayer,2.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b4__sig1.0__fast.npz,89ca539bb56c1d4ad2528b5f4a3e6e410aad24f8f8fdf3119141535947a0622b,True,True,,1,self-report; not geometry-derived layer count or success,0.4772513813647345,0.5591136638281314,0.9349073690450318,0.95703125,1.0,0.503494778693355,1.0,0.5780132310712088,0.4814042119767965,0.5290765019725698,1.5921434356176625,0.4078565643823375,0.7960717178088312,,,,,,,,,,,,,
synthetic,dual_g2_s912101_b4,open3d_icp_then_xyz,1.0,true_bilayer,2.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912101_b4__sig1.0__open3d_icp_then_xyz.npz,7f0dad0350a46841489c8bcf59976c6862f6846f7fc4c8cf817331dfa54ab45b,True,True,,2,self-report; not geometry-derived layer count or success,0.41601482670604156,0.5331456485244452,0.9411094740320528,0.2682291666666667,0.7200520833333334,1.5958021794842312,1.0,3.145438547421155,0.4102538230012609,0.47259089692430556,1.6098435778106057,0.3901564221893943,0.8049217889053029,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b0,identity,1.0,true_bilayer,2.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b0__sig1.0__identity.npz,084b2449b9bbdd32f9a61f853dbd08090764ee3424dcc236a336c497e7efc9e6,True,True,,,self-report; not geometry-derived layer count or success,0.7832369473745767,0.9810985691878124,1.97614799606541,0.703125,0.9791666666666666,0.7579725618584726,1.0,1.0293765348015216,0.8241908132341745,1.0291106245378405,1.9624492362077226,0.0375507637922774,0.9812246181038613,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b0,xyz_mixture,1.0,true_bilayer,2.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b0__sig1.0__xyz_mixture.npz,c0040e27f8fdc998ca7fa1effbb162fa9d50b0dced359788f5d83bbe1eadedd5,True,True,,2,self-report; not geometry-derived layer count or success,0.3929560070243032,0.46986407523104984,0.8815067754337957,0.9739583333333334,1.0,0.3962553699912847,1.0,0.48403263914766476,0.3994936466724622,0.4305039777233917,1.5454384944973003,0.4545615055026997,0.7727192472486502,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b0,fast,1.0,true_bilayer,2.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b0__sig1.0__fast.npz,dc87a91b076060bb3d0955be09fba23154c5d10a7acd289835413dab33ec290a,True,True,,1,self-report; not geometry-derived layer count or success,0.4338913305703757,0.5221353586547239,0.9289104354690982,0.96875,1.0,0.4408942695776492,1.0,0.532180445048347,0.43881474993256603,0.450240789863184,1.4166343080393133,0.5833656919606867,0.7083171540196567,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b0,open3d_icp_then_xyz,1.0,true_bilayer,2.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b0__sig1.0__open3d_icp_then_xyz.npz,e5a723790f4d2dff9667fdda1b37fc3ea39b928e743386f926357b077ef2cec5,True,True,,2,self-report; not geometry-derived layer count or success,0.39776515420770964,0.484477214501188,0.8892202859014116,0.3177083333333333,0.8203125,1.35287628780255,1.0,1.9673726796277466,0.40077397190063135,0.4485902617081559,1.600817097065467,0.39918290293453307,0.8004085485327335,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b4,identity,1.0,true_bilayer,2.0,4.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b4__sig1.0__identity.npz,4e2f4caeaf484de1172eebe7bb44879f2336a06312c57777cbeb5c133953e1fd,True,True,,,self-report; not geometry-derived layer count or success,3.092544277187638,3.9398092496379764,7.236734908853073,0.29296875,0.5520833333333334,1.9816639441118735,1.0,4.126421615655253,3.2909193885609462,4.124016463088476,1.7102204347475798,0.2897795652524202,0.8551102173737899,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b4,xyz_mixture,1.0,true_bilayer,2.0,4.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b4__sig1.0__xyz_mixture.npz,7249fe7350bc7feec6dd98bee83cda8f49c8100d3ee4c6d377f879e1315b5923,True,True,,2,self-report; not geometry-derived layer count or success,2.6007272238330597,3.0070690113224092,5.320911007010864,0.020833333333333332,0.328125,2.4364399702340873,1.0,3.21720289287899,2.914360611552043,3.216045462918342,1.8592218858943141,0.14077811410568586,0.9296109429471571,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b4,fast,1.0,true_bilayer,2.0,4.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b4__sig1.0__fast.npz,6f8ad360e98058b19a34a9dd992e81c2c35ad2e954b1c79a43511b048f57a264,True,True,,1,self-report; not geometry-derived layer count or success,0.4547929493251986,0.5423483606550894,0.94452349603335,0.9479166666666666,1.0,0.477653611862558,1.0,0.5629313079963677,0.4621316216807571,0.4157604341988713,1.2378786537247168,0.7621213462752832,0.6189393268623584,,,,,,,,,,,,,
synthetic,dual_g2_s912113_b4,open3d_icp_then_xyz,1.0,true_bilayer,2.0,4.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912113_b4__sig1.0__open3d_icp_then_xyz.npz,e0ae30c5ca29e4ffe96ea1c007192fbe0d7aa8155b85dace453a1353267191d5,True,True,,2,self-report; not geometry-derived layer count or success,0.4052207111710789,0.48503943452639653,0.898814065928025,0.3971354166666667,0.8841145833333334,1.2061110829479855,1.0,1.704949900163366,0.4126548195444122,0.43957290608758515,1.5036595359030716,0.49634046409692845,0.7518297679515358,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b0,identity,1.0,true_bilayer,2.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b0__sig1.0__identity.npz,897bb18b2debf1d18ceeef6df622dc70fe639d69b3a3b96c9a10c85d9dcf748b,True,True,,,self-report; not geometry-derived layer count or success,0.7905393652621213,0.9742227981939552,1.889730870410953,0.6966145833333334,0.9830729166666666,0.7620419292936088,1.0,1.001342236848391,0.8167109833405842,1.000981664995415,2.0391578308510234,0.03915783085102342,1.0195789154255117,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b0,xyz_mixture,1.0,true_bilayer,2.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b0__sig1.0__xyz_mixture.npz,8a5d6d27508c500d3a178c260219aea291a8fe8538302967e0324eeb91bf1f7d,True,True,,2,self-report; not geometry-derived layer count or success,0.36091167793426276,0.44340318447619825,0.8750746127443125,0.9713541666666666,1.0,0.3631916184718216,1.0,0.4565507056622884,0.36665390429095807,0.397298371166158,1.5373927383453994,0.46260726165460064,0.7686963691726997,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b0,fast,1.0,true_bilayer,2.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b0__sig1.0__fast.npz,f5c47a74cdf0be6a938d32882c4b825902ca0ea59724db4df7f89ffc1d17497e,True,True,,1,self-report; not geometry-derived layer count or success,0.4275258153732688,0.515096096468483,0.9280154619618811,0.9440104166666666,1.0,0.43624651917263774,1.0,0.5293750097362778,0.4346343449957197,0.4166332351755545,1.3268726387974692,0.6731273612025308,0.6634363193987346,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b0,open3d_icp_then_xyz,1.0,true_bilayer,2.0,0.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b0__sig1.0__open3d_icp_then_xyz.npz,100a0cfa65cd6640af9c4eb59d45201c54068b9a897107502224f62bd508c932,True,True,,2,self-report; not geometry-derived layer count or success,0.39221245666835686,0.530992213392287,0.9183238474285897,0.2994791666666667,0.81640625,1.4557599107852865,1.0,2.5754179943605315,0.37142037166081293,0.415822408955002,1.6019010224902988,0.39809897750970125,0.8009505112451494,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b4,identity,1.0,true_bilayer,2.0,4.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b4__sig1.0__identity.npz,9437636a989ba6e8ae5bc4917ff0ac55af180aaa3b98678ed6c5ccc80fe7f882,True,True,,,self-report; not geometry-derived layer count or success,3.3397686335846437,3.9407132104511233,6.55752820831136,0.19010416666666666,0.4453125,2.2705691560024626,1.0,4.090981746927633,3.491369402780889,4.0890864783416685,2.2548735914343347,0.25487359143433475,1.1274367957171674,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b4,xyz_mixture,1.0,true_bilayer,2.0,4.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b4__sig1.0__xyz_mixture.npz,aa02f49d6efa675ae59a6dbc1bff060d9f2ade949c3249238de51ee4125aa172,True,True,,2,self-report; not geometry-derived layer count or success,3.215404030753208,3.2779580035680955,4.01638807828281,0.009114583333333334,0.03515625,3.1998979068956266,1.0,3.451359462243604,3.3813115055304457,3.450952554362804,2.031608060813696,0.03160806081369616,1.015804030406848,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b4,fast,1.0,true_bilayer,2.0,4.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b4__sig1.0__fast.npz,f34c473cb6c19fc469fbbf7f19eaa1146283009d6170ee4313fba4c822ccb29e,True,True,,1,self-report; not geometry-derived layer count or success,0.4249353451417189,0.513752917703776,0.9120037580369873,0.953125,1.0,0.45160815086328737,1.0,0.5387834650569948,0.433482404907039,0.4330462301581231,1.3677050063513887,0.6322949936486113,0.6838525031756943,,,,,,,,,,,,,
synthetic,dual_g2_s912127_b4,open3d_icp_then_xyz,1.0,true_bilayer,2.0,4.0,912127,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g2_s912127_b4__sig1.0__open3d_icp_then_xyz.npz,628a1412640cbc9e129ec52d3b350d1a1fe61d1808e553c5264a1c99a8c07366,True,True,,2,self-report; not geometry-derived layer count or success,0.39491016814279073,0.5335611736140902,0.9044366411963682,0.30078125,0.81640625,1.4571025903427532,1.0,2.5798625642683137,0.37479247671211385,0.42587823842097833,1.6301625270474465,0.36983747295255354,0.8150812635237232,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b0,identity,1.0,true_bilayer,4.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b0__sig1.0__identity.npz,2ea338765cef38b58d60dd0c7ef8babbd7dcfe43bbabae719c89713ebaf32d85,True,True,,,self-report; not geometry-derived layer count or success,0.8064323524355114,1.0120559962051876,1.958950993271646,0.7135416666666666,0.97265625,0.7546138982885909,1.0,1.0218341833090723,0.8114042921165225,1.0209562770756897,4.00228714403052,0.002287144030519883,1.00057178600763,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b0,xyz_mixture,1.0,true_bilayer,4.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b0__sig1.0__xyz_mixture.npz,86ee0417ba07e490d0d777e2fd45b6cf56d2b435afd0402077004da84b39a0cc,True,True,,2,self-report; not geometry-derived layer count or success,0.5933988629320587,0.7386444396706995,1.5074474482793694,0.8645833333333334,0.9973958333333334,0.5752652261821594,1.0,0.7443110242701775,0.5951563166254291,0.6845174829610431,3.4087327789112707,0.5912672210887293,0.8521831947278177,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b0,fast,1.0,true_bilayer,4.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b0__sig1.0__fast.npz,08670a4088b47182d0ac34de40bea53dff37795e79214864615e58b6186b4a89,True,True,,2,self-report; not geometry-derived layer count or success,0.9457747806516923,1.2227808178641495,2.5532678541312674,0.6575520833333334,0.92578125,0.8801292204184774,1.0,1.3443772865714432,1.0203285922693943,1.3001947682968351,3.314545824262304,0.685454175737696,0.828636456065576,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b0,open3d_icp_then_xyz,1.0,true_bilayer,4.0,0.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b0__sig1.0__open3d_icp_then_xyz.npz,5dea4711ba8bc8786a7c20f64855f4736bed04c755d74d8dd3b778919a4a935c,True,True,,2,self-report; not geometry-derived layer count or success,0.6221479775705868,0.7791008998337564,1.5130213470298062,0.23958333333333334,0.7018229166666666,1.6645986896088587,1.0,3.085540031037069,0.6095602956649097,0.6758224555503187,3.3298854373321207,0.6701145626678793,0.8324713593330302,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b4,identity,1.0,true_bilayer,4.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b4__sig1.0__identity.npz,de42d7e102da0f57b401cecab83f2acc425f397a7b02d993d2ef8eae02ef0609,True,True,,,self-report; not geometry-derived layer count or success,3.434741242386911,3.8791705832237486,6.622687217118436,0.04296875,0.203125,2.8927523438750753,1.0,4.14569839196445,3.7892775109664165,4.144539059441843,4.182276629333906,0.18227662933390576,1.0455691573334764,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b4,xyz_mixture,1.0,true_bilayer,4.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b4__sig1.0__xyz_mixture.npz,bbbc04f13a1a3c63d4b6aac1346bb34df98f6b2fc4602bc73e55e004f18327d3,True,True,,2,self-report; not geometry-derived layer count or success,3.185225570447312,3.4132615985794206,5.182231656023014,0.00390625,0.049479166666666664,3.2699032447748233,1.0,3.8737766944102066,3.720029463340488,3.85174800047034,3.176706437007995,0.8232935629920051,0.7941766092519987,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b4,fast,1.0,true_bilayer,4.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b4__sig1.0__fast.npz,fe17e2c3abca95ae49090fa511b95f78f7bd0827c36d8dac27ea645215ed7987,True,True,,2,self-report; not geometry-derived layer count or success,0.8465600820128643,1.0591049522585965,1.9605176942863063,0.6901041666666666,0.9557291666666666,0.8463905596799833,1.0,1.1397312094757477,0.8812509209759831,1.0830197362405778,3.3952211996411497,0.6047788003588503,0.8488052999102874,,,,,,,,,,,,,
synthetic,dual_g4_s912101_b4,open3d_icp_then_xyz,1.0,true_bilayer,4.0,4.0,912101,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912101_b4__sig1.0__open3d_icp_then_xyz.npz,92c7c6c2d5ab3c7fbc47dc3db9d87a468028c0a95b03feac52a07306153b06c4,True,True,,2,self-report; not geometry-derived layer count or success,0.626483614758941,0.7827243732132638,1.5418279142001627,0.33203125,0.7395833333333334,1.554579219454861,1.0,3.036411217928376,0.615043807974809,0.6895678721142708,3.364948833713227,0.635051166286773,0.8412372084283067,,,,,,,,,,,,,
synthetic,dual_g4_s912113_b0,identity,1.0,true_bilayer,4.0,0.0,912113,reused_v1,True,/srv/slam-research/grf/map-denoise/runs/multiscan-pilot-v1/pilot/outputs/dual_g4_s912113_b0__sig1.0__identity.npz,9310901941eeb9c9221fc6391b9a2ff161aeb2b0a58a01fc7814ceb84fc80400,True,True,,,self-report; not geometry-derived layer count or success,0.8196547020984775,1.0205251617952384,1.9775188610804249,0.7083333333333334,0.96484375,0.7675900321212694,1.0,1.0293765348015236,0.8241908132341761,1.0292615116041084,4.008922632220307,0.008922632220307314,1.0022306580550768,,,,,,,,,,,,,
